protocol_type,src_ip,dst_ip,src_port,dst_port,flag,src_bytes,dst_bytes,duration,count,label
tcp,192.168.1.39,176.28.50.165,41484,80,ACK,762,594,0.999498,10,xss
udp,192.168.1.152,192.168.1.190,58428,53,OTH,218,386,0.000318,4,normal
udp,192.168.1.79,192.168.1.255,48378,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.190,131.188.3.2,3759,53,OTH,97,1162,0.319517,2,injection
udp,192.168.1.6,239.255.255.250,41632,1900,OTH,507,0,0.60731,3,injection
udp,192.168.1.190,192.5.6.30,7993,53,OTH,83,804,0.016179,2,normal
udp,192.168.1.79,192.168.1.255,45952,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.30,192.168.1.193,4967,4967,SYN,6200,6200,0.207437,200,dos
udp,192.168.1.152,192.168.1.190,52518,53,OTH,218,386,0.00039,4,normal
udp,192.168.1.190,192.5.6.30,12456,53,OTH,87,808,0.07967,2,normal
udp,192.168.1.152,192.168.1.190,50222,53,OTH,218,386,0.000261,4,normal
udp,192.168.1.35,192.168.1.1,53181,53,OTH,158,174,0.002775,4,xss
udp,192.168.1.1,192.168.1.193,56734,61850,OTH,378,0,0.0,1,injection
udp,192.168.1.39,192.168.1.1,56112,53,OTH,164,196,0.002851,4,xss
udp,192.168.1.190,205.251.198.103,60528,53,OTH,101,302,0.227909,2,normal
udp,192.168.1.39,192.168.1.1,55102,53,OTH,158,174,0.002772,4,xss
udp,192.168.1.79,239.255.255.250,46407,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.79,192.168.1.255,59216,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.152,52.26.235.130,54062,443,ACK,2545,4647,61.793149,30,normal
tcp,192.168.1.31,192.168.1.190,46412,80,ACK,495,999,0.002004,10,password
udp,192.168.1.79,192.168.1.255,43024,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.30,192.168.1.190,59730,80,SYN,144,76,4e-06,3,ddos
udp,192.168.1.152,192.168.1.190,55244,53,OTH,218,386,0.000243,4,normal
udp,192.168.1.79,239.255.255.250,49130,15600,OTH,79,0,0.0,1,injection
tcp,192.168.1.32,192.168.1.180,42946,4263,SYN,64,0,0.0,1,scanning
tcp,192.168.1.32,192.168.1.180,42119,31327,SYN,64,0,0.0,1,scanning
tcp,192.168.1.32,192.168.1.195,7619,57017,SYN,64,0,0.0,1,scanning
udp,192.168.1.195,192.168.1.190,62975,53,OTH,77,531,1.977016,2,normal
udp,192.168.1.79,239.255.255.250,36242,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.31,192.168.1.190,47794,80,ACK,731,2335,0.004108,12,injection
udp,192.168.1.180,192.168.1.190,57695,53,OTH,84,158,0.000471,2,ransomware
udp,192.168.1.190,199.7.83.42,39461,53,OTH,86,1217,0.053021,2,normal
udp,192.168.1.152,192.168.1.190,49277,53,OTH,218,386,0.000193,4,normal
udp,192.168.1.190,23.61.199.131,21907,53,OTH,118,184,0.258697,2,normal
tcp,192.168.1.30,52.59.177.21,36044,80,ACK,640,13007,1.496121,18,injection
udp,192.168.1.79,192.168.1.255,34184,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.30,192.168.1.190,59116,80,SYN,144,76,0.000585,3,ddos
udp,192.168.1.195,192.168.1.190,61508,53,OTH,81,255,0.00059,2,injection
udp,192.168.1.152,192.168.1.190,45032,53,OTH,218,386,0.000243,4,normal
udp,172.17.14.10,239.255.255.250,39210,1900,OTH,860,0,3.072383,4,normal
udp,192.168.1.190,192.42.177.30,9224,53,OTH,95,557,0.136149,2,password
udp,192.168.1.152,192.168.1.190,44767,53,OTH,218,386,0.00021,4,normal
udp,192.168.1.195,192.168.1.190,62141,53,OTH,70,145,0.000184,2,normal
udp,192.168.1.1,192.168.1.195,56504,62253,OTH,5820,0,2.199391,16,injection
udp,192.168.1.79,192.168.1.255,35309,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.39,176.28.50.165,41708,80,ACK,735,594,1.036761,10,xss
udp,192.168.1.190,216.239.38.10,43938,53,OTH,102,130,0.304763,2,normal
tcp,192.168.1.30,192.168.1.184,43408,443,SYN,144,76,0.000354,3,ddos
udp,192.168.1.79,239.255.255.250,51018,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.31,192.168.1.190,34070,80,ACK,503,997,0.002348,10,password
tcp,192.168.1.30,192.168.1.180,19138,26412,SYN,64,0,0.0,1,scanning
udp,192.168.1.79,239.255.255.250,47523,15600,OTH,79,0,0.0,1,injection
tcp,192.168.1.39,192.168.1.184,4837,4837,SYN,6200,0,0.224132,100,dos
tcp,192.168.1.32,192.168.1.180,44395,21411,SYN,64,0,0.0,1,scanning
tcp,192.168.1.31,18.184.104.180,41702,80,ACK,692,13007,1.364398,18,injection
tcp,192.168.1.31,176.28.50.165,45722,80,ACK,581,2575,1.651057,11,injection
udp,192.168.1.1,192.168.1.195,53102,50472,OTH,661,0,0.000851,2,injection
tcp,192.168.1.180,192.30.45.30,59234,43,ACK,613,4246,0.523648,18,password
udp,192.168.1.30,192.168.1.1,33860,53,OTH,162,178,0.004168,4,injection
udp,192.168.1.79,239.255.255.250,39256,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.30,192.168.1.190,34460,80,SYN,76,76,2e-06,2,ddos
other,192.168.1.190,224.0.0.251,0,0,OTH,432,0,87122.403605,9,normal
tcp,192.168.1.193,192.168.1.79,50310,9197,ACK,544,349,0.048537,10,injection
tcp,192.168.1.30,192.168.1.190,57352,80,SYN,144,76,0.000218,3,ddos
udp,192.168.1.190,192.5.6.30,48244,53,OTH,85,806,0.068187,2,normal
tcp,192.168.1.32,192.168.1.195,62855,35220,SYN,64,0,0.0,1,scanning
udp,192.168.1.190,208.84.0.53,53177,53,OTH,94,122,0.066063,2,normal
udp,192.168.1.79,239.255.255.250,37132,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.30,192.168.1.152,33626,21,SYN,76,62,0.000493,2,password
tcp,192.168.1.30,192.168.1.190,34442,80,SYN,144,76,0.000194,3,ddos
udp,192.168.1.79,192.168.1.255,44269,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.190,192.5.5.241,4305,53,OTH,72,1141,0.012183,2,password
udp,192.168.1.152,192.168.1.190,34005,53,OTH,218,386,0.000251,4,normal
udp,192.168.1.152,192.168.1.190,56992,53,OTH,160,754,0.357612,4,normal
tcp,192.168.1.190,192.168.1.190,4838,4838,SYN,7440,0,0.244386,120,dos
udp,192.168.1.79,192.168.1.255,59071,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.31,192.168.1.152,49006,80,ACK,651,3924,0.079384,13,injection
tcp,192.168.1.32,192.168.1.195,46398,6470,SYN,64,0,0.0,1,scanning
tcp,192.168.1.30,192.168.1.190,32962,80,SYN,144,76,0.001957,3,ddos
udp,192.168.1.79,239.255.255.250,55953,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.30,192.168.1.190,53834,80,SYN,144,76,0.000108,3,ddos
udp,192.168.1.190,96.7.49.129,32255,53,OTH,122,140,0.132149,2,normal
udp,127.0.0.1,127.0.0.1,52555,53,OTH,156,361,0.000236,4,normal
udp,192.168.1.79,192.168.1.255,38190,15600,OTH,79,0,0.0,1,injection
udp,172.17.4.102,224.0.0.252,62544,5355,OTH,150,0,0.519188,2,normal
udp,192.168.1.79,239.255.255.250,50785,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.32,192.168.1.180,22124,47147,SYN,64,0,0.0,1,scanning
tcp,192.168.1.30,192.168.1.195,39518,50334,SYN,64,0,0.0,1,scanning
udp,192.168.1.152,192.168.1.190,53677,53,OTH,218,386,0.000267,4,normal
udp,192.168.1.79,239.255.255.250,52081,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.169,192.168.1.255,138,138,OTH,252,0,0.0,1,password
udp,192.168.1.79,239.255.255.250,49338,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.152,192.168.1.190,51886,53,OTH,436,772,945.22383,8,normal
tcp,192.168.1.39,18.194.169.124,41300,80,ACK,694,404,0.978504,10,xss
udp,192.168.1.190,192.26.92.30,32058,53,OTH,86,807,0.125057,2,normal
udp,127.0.0.1,127.0.0.1,41126,53,OTH,156,361,0.001579,4,normal
udp,192.168.1.79,239.255.255.250,52253,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.79,192.168.1.255,37776,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.30,192.168.1.184,46892,443,SYN,144,76,0.000208,3,ddos
tcp,192.168.1.30,192.168.1.184,41840,443,SYN,144,76,4e-06,3,ddos
udp,192.168.1.152,192.168.1.190,53458,53,OTH,218,386,0.000367,4,normal
udp,192.168.1.180,192.168.1.190,51782,53,OTH,82,332,0.000832,2,ransomware
tcp,192.168.1.30,192.168.1.195,26208,25583,SYN,64,0,0.0,1,scanning
udp,192.168.1.79,192.168.1.255,49153,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.180,172.217.167.67,55904,443,ACK,1021,4628,0.135022,20,injection
tcp,192.168.1.30,192.168.1.190,58236,80,SYN,144,76,0.000258,3,ddos
