protocol_type,src_ip,dst_ip,src_port,dst_port,flag,src_bytes,dst_bytes,duration,count,label
udp,192.168.1.250,224.0.0.251,5353,5353,OTH,17275,0,89296.204495,117,normal
tcp,192.168.1.30,192.168.1.195,16949,3189,SYN,64,0,0.0,1,scanning
udp,192.168.1.79,239.255.255.250,49089,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.79,192.168.1.255,60910,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.30,192.168.1.190,45472,21,ACK,1249,1278,9.346367,33,password
tcp,192.168.1.30,192.168.1.180,56768,33751,SYN,64,0,0.0,1,scanning
udp,192.168.1.79,192.168.1.255,36956,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.32,192.168.1.195,58940,46532,SYN,64,0,0.0,1,scanning
tcp,192.168.1.39,192.168.1.193,4842,4842,SYN,6200,0,0.169498,100,dos
udp,192.168.1.31,192.168.1.1,32833,53,OTH,132,132,0.002795,4,injection
tcp,192.168.1.39,35.156.66.156,4838,4838,SYN,12400,0,0.170813,200,dos
tcp,192.168.1.31,192.168.1.190,46910,80,ACK,897,2335,0.014877,11,injection
udp,192.168.1.190,193.108.88.128,52014,53,OTH,115,137,0.013662,2,normal
tcp,192.168.1.190,192.168.1.152,47979,1880,ACK,4092,40645,11.022274,126,ransomware
udp,192.168.1.35,192.168.1.1,44505,53,OTH,158,174,0.00348,4,xss
udp,192.168.1.79,192.168.1.255,39027,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.152,192.168.1.190,42873,53,OTH,218,386,0.00038,4,normal
tcp,192.168.1.32,192.168.1.180,59024,7831,SYN,64,0,0.0,1,scanning
tcp,192.168.1.30,192.168.1.180,58735,47313,SYN,64,0,0.0,1,scanning
udp,192.168.1.30,192.168.1.1,43465,53,OTH,81,97,0.002105,2,dos
udp,192.168.1.79,239.255.255.250,51752,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.79,192.168.1.255,56931,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.31,192.168.1.152,50824,80,ACK,495,3924,0.002146,12,password
tcp,192.168.1.30,192.168.1.184,44582,443,SYN,144,76,4e-06,3,ddos
udp,192.168.1.79,192.168.1.255,53801,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.79,239.255.255.250,34189,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.79,239.255.255.250,56889,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.152,192.168.1.190,44466,53,OTH,218,386,0.000265,4,normal
other,192.168.1.195,224.0.0.251,0,0,OTH,240,0,0.032971,4,ransomware
other,192.168.1.250,224.0.0.251,0,0,OTH,124,0,240.612935,2,normal
tcp,192.168.1.31,192.168.1.190,47690,80,ACK,660,2335,0.004379,11,injection
tcp,192.168.1.31,192.168.1.152,49070,80,ACK,591,3856,0.062981,11,injection
udp,192.168.1.152,192.168.1.190,46614,53,OTH,218,386,0.000261,4,normal
udp,192.168.1.190,204.69.234.1,12745,53,OTH,92,128,0.013088,2,ransomware
udp,192.168.1.193,192.168.1.190,56281,53,OTH,89,170,0.138397,2,ransomware
tcp,192.168.1.30,192.168.1.184,48086,443,SYN,144,76,0.000418,3,ddos
udp,172.17.0.3,192.168.1.190,34397,53,OTH,168,668,0.001061,4,ddos
tcp,192.168.1.195,192.168.1.1,53120,41952,ACK,586,4434,0.067976,14,ransomware
udp,192.168.1.39,192.168.1.1,57325,53,OTH,158,174,0.003454,4,xss
udp,192.168.1.79,192.168.1.255,59610,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.31,192.168.1.195,38396,80,ACK,479,2313,0.015921,10,password
udp,192.168.1.35,192.168.1.1,57627,53,OTH,158,174,0.006741,4,xss
tcp,192.168.1.30,192.168.1.180,52968,49857,SYN,64,0,0.0,1,scanning
udp,192.168.1.79,239.255.255.250,54758,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.31,192.168.1.152,49218,80,ACK,732,3924,0.054231,13,injection
udp,192.168.1.79,192.168.1.255,36528,15600,OTH,79,0,0.0,1,normal
udp,172.17.0.3,192.168.1.190,49175,53,OTH,168,724,0.002563,4,password
tcp,192.168.1.35,176.28.50.165,46748,80,ACK,2871,660,1.081635,12,xss
udp,192.168.1.152,192.168.1.190,59664,53,OTH,218,386,0.000244,4,normal
tcp,192.168.1.30,192.168.1.190,40474,80,ACK,515,3291,0.002795,11,password
udp,192.168.1.79,239.255.255.250,33213,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.152,192.168.1.190,33636,53,OTH,218,386,0.000268,4,normal
udp,172.17.1.157,224.0.0.251,5353,5353,OTH,633,0,0.312055,3,normal
udp,192.168.1.79,239.255.255.250,46207,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.152,192.168.1.190,54196,53,OTH,218,386,0.000227,4,normal
udp,192.168.1.152,192.168.1.190,60582,53,OTH,218,386,0.000184,4,normal
udp,192.168.1.190,193.108.91.240,21772,53,OTH,103,333,0.018429,2,ddos
udp,192.168.1.79,192.168.1.255,48329,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.79,239.255.255.250,40256,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.30,192.168.1.190,56792,80,SYN,144,76,0.000349,3,ddos
udp,192.168.1.79,239.255.255.250,48850,15600,OTH,79,0,0.0,1,normal
tcp,192.168.1.30,192.168.1.195,8471,44261,SYN,64,0,0.0,1,scanning
udp,192.168.1.79,239.255.255.250,53274,15600,OTH,79,0,0.0,1,normal
udp,192.168.1.190,95.100.173.129,52872,53,OTH,118,134,0.427298,2,normal
